timestamp,x,y,x_velocity,y_velocity
1540928501148,0.0049580517,0.039411493,38.89883,-0.0014330297
1540928501198,0.0049953773,0.039411493,18.814602,-0.06685153
1540928501216,0.005055562,0.039411493,14.006067,0.025542235
1540928501231,0.0051340326,0.039411493,45.209175,-0.006901133
1540928501265,0.005175933,0.039411493,23.13554,-0.045257278
1540928501464,0.005326396,0.039411493,108.92767,0.058348767
1540928501497,0.005429096,0.039279334,13.608264,-107.47227
1540928501514,0.0059479675,0.03876296,466.3706,-497.48328
1540928501530,0.0070073437,0.03757876,976.6932,-1058.898
1540928501548,0.009033413,0.035512663,1626.736,-1735.1987
1540928501564,0.012025676,0.032675084,3070.1836,-3045.8845
1540928501581,0.014971834,0.029777916,3581.2253,-3441.696
1540928501597,0.017590847,0.027083026,3540.017,-3451.1802
1540928501614,0.019892713,0.024417996,2981.804,-3072.0667
1540928501631,0.021959594,0.02186422,2095.337,-2552.0903
1540928501647,0.023910228,0.019371051,1607.7109,-2274.3237
1540928501664,0.025848549,0.017007522,1515.1139,-2188.7983
1540928501681,0.027486926,0.015097338,1476.1412,-1950.3555
1540928501698,0.028760262,0.0135096125,1295.324,-1572.115
1540928501714,0.029911317,0.012465588,986.41364,-1037.0388
1540928501730,0.030670762,0.011823097,662.5489,-461.7948
1540928501747,0.03125347,0.011303092,363.1957,-98.16351
1540928501764,0.031640213,0.010858309,185.7909,15.436883
1540928501780,0.031907212,0.01049826,46.07221,-39.037014
1540928501797,0.03214914,0.010232037,-6.1470327,-133.28458
1540928501814,0.03229398,0.010053381,25.021437,-121.901695
1540928501830,0.032417197,0.009905374,19.636671,-67.26687
1540928501847,0.03253761,0.009882821,38.58437,-0.23635213
1540928501866,0.032650508,0.009882821,57.377026,56.428753
1540928501913,0.03262041,0.009822925,0.0,0.0
1540928502479,0.032728363,0.010301134,244.73378,629.7645
1540928502495,0.033303604,0.011151975,738.06415,977.0222
1540928502513,0.034718484,0.013029051,1536.1642,1905.1836
1540928502529,0.036350936,0.015537336,1996.5975,2786.5374
1540928502546,0.038422637,0.01861489,2289.2854,3326.205
1540928502562,0.040501133,0.022061042,2515.1165,3798.1511
1540928502579,0.04252122,0.025327535,2335.1716,3828.0247
1540928502596,0.044183027,0.02816391,2001.8401,3430.7498
1540928502612,0.045636646,0.030693596,1563.8657,2787.4487
1540928502629,0.046890367,0.032673247,1114.672,1988.6838
1540928502645,0.04787122,0.034334064,824.78314,1367.9441
1540928502662,0.048558027,0.035471175,534.6197,891.86884
1540928502679,0.04916598,0.036348768,389.2159,556.5168
1540928502696,0.049653627,0.036986683,238.88864,261.96417
1540928502712,0.05011086,0.037411574,230.55644,124.55677
1540928502729,0.050475653,0.037741248,244.72783,39.18358
1540928502745,0.05076879,0.03788665,237.60588,-6.1945286
1540928502762,0.05091863,0.038035776,140.90468,-48.777813
1540928502779,0.051132962,0.038189173,91.23528,-17.269861
1540928502795,0.051313166,0.038368516,81.96912,57.906265
1540928502812,0.051491525,0.038578983,113.036385,139.05948
1540928502829,0.051612735,0.038786434,130.38515,214.18425
1540928502851,0.051735807,0.039005294,109.11458,217.35893
1540928502862,0.05185656,0.03918575,84.834816,208.31905
1540928502878,0.0518797,0.0394147,52.16186,194.4505
1540928502895,0.0518797,0.039564542,-0.55242217,175.02376
1540928502911,0.0518797,0.03968644,-38.387222,136.78873
1540928502928,0.0518797,0.03980532,-53.287296,91.467316
1540928502944,0.0518797,0.039878335,-35.645016,59.790154
1540928502961,0.0518797,0.03997675,-3.0159035,44.94582
1540928502978,0.051802263,0.039950553,-30.88068,18.421352
1540928503011,0.05175933,0.039950553,-56.693638,-28.969715
1540928503061,0.051699143,0.039995763,0.0,54.83972
